,no_of_adults,children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,avg_price_per_room,booking_status,cx_rsvn_pcg,nights_ttl
2321,2,0,Not Selected,1,Room_Type 1,0,Online,0,44.0,0,0.0,2
2322,2,0,Meal Plan 1,0,Room_Type 1,18,Online,0,150.5,0,0.0,4
2323,2,0,Meal Plan 1,0,Room_Type 1,0,Online,0,55.08,0,0.0,1
2324,2,0,Not Selected,0,Room_Type 1,3,Online,0,92.0,0,0.0,3
2325,1,0,Meal Plan 1,0,Room_Type 4,0,Online,0,93.6,0,0.0,2
2326,2,0,Meal Plan 1,0,Room_Type 1,142,Online,0,76.5,0,0.0,3
2327,2,0,Meal Plan 1,0,Room_Type 1,20,Offline,0,80.0,0,0.0,2
2328,2,0,Meal Plan 1,0,Room_Type 1,6,Online,0,100.67,0,0.0,6
2329,2,0,Not Selected,0,Room_Type 1,5,Online,0,68.53,0,0.0,2
2330,2,0,Not Selected,0,Room_Type 1,132,Online,0,89.25,1,0.0,4
2331,0,1,Meal Plan 1,0,Room_Type 2,34,Online,0,119.5,0,0.0,3
2332,2,0,Not Selected,0,Room_Type 1,0,Online,0,92.0,0,0.0,1
2333,2,0,Meal Plan 1,0,Room_Type 1,83,Offline,0,75.0,0,0.0,4
2334,1,0,Not Selected,0,Room_Type 1,23,Online,0,89.0,0,0.0,1
2335,2,0,Not Selected,0,Room_Type 1,115,Online,0,118.8,0,0.0,1
2336,0,1,Meal Plan 1,0,Room_Type 2,48,Online,0,6.0,0,0.0,4
2337,2,0,Meal Plan 1,0,Room_Type 1,167,Online,0,119.7,1,0.0,3
2338,2,1,Meal Plan 1,0,Room_Type 1,42,Offline,0,112.0,0,0.0,3
2339,2,0,Meal Plan 1,0,Room_Type 1,66,Online,0,75.0,1,0.0,3
2340,2,0,Meal Plan 1,0,Room_Type 1,13,Online,0,124.52,0,0.0,12
2341,2,0,Meal Plan 2,0,Room_Type 1,96,Online,0,94.5,1,0.0,3
2342,2,0,Meal Plan 1,1,Room_Type 1,180,Online,0,135.9,1,0.0,3
2343,2,0,Meal Plan 1,0,Room_Type 1,0,Online,0,105.3,0,0.0,1
2344,2,0,Meal Plan 2,0,Room_Type 1,124,Offline,0,94.5,0,0.0,3
2345,2,0,Not Selected,0,Room_Type 1,9,Online,0,69.5,0,0.0,16
2346,1,0,Meal Plan 1,0,Room_Type 1,116,Online,0,61.0,1,0.0,3
2347,2,0,Meal Plan 1,0,Room_Type 1,124,Online,0,118.8,0,0.0,3
2348,2,0,Meal Plan 1,0,Room_Type 1,221,Offline,0,65.0,0,0.0,3
2349,2,0,Meal Plan 1,0,Room_Type 1,212,Offline,0,78.0,0,0.0,5
2350,1,0,Meal Plan 1,0,Room_Type 1,113,Corporate,0,100.0,1,0.0,3
2351,2,0,Not Selected,0,Room_Type 1,9,Online,0,140.0,1,0.0,4
2352,2,0,Meal Plan 1,0,Room_Type 1,213,Online,0,130.0,1,0.0,3
2353,1,1,Not Selected,0,Room_Type 1,217,Online,0,65.11,0,0.0,10
2354,2,0,Meal Plan 1,0,Room_Type 1,66,Online,0,75.0,1,0.0,3
2355,2,0,Meal Plan 1,0,Room_Type 1,23,Online,0,91.67,0,0.0,3
2356,2,0,Meal Plan 1,0,Room_Type 4,121,Online,0,91.48,1,0.0,2
2357,2,0,Meal Plan 1,0,Room_Type 1,5,Online,0,110.71,0,0.0,7
2358,2,0,Meal Plan 1,0,Room_Type 1,148,Offline,0,67.0,0,0.0,5
2359,2,0,Not Selected,0,Room_Type 1,180,Online,0,54.75,0,0.0,1
2360,2,0,Meal Plan 1,0,Room_Type 1,305,Online,0,89.0,1,0.0,3
2361,1,0,Meal Plan 1,0,Room_Type 1,55,Online,0,109.35,1,0.0,3
2362,2,0,Not Selected,0,Room_Type 1,54,Online,0,88.2,1,0.0,3
2363,3,0,Meal Plan 1,0,Room_Type 4,137,Online,0,145.2,0,0.0,6
2364,2,0,Meal Plan 2,0,Room_Type 1,13,Offline,0,131.6,0,0.0,1
2365,2,0,Not Selected,0,Room_Type 1,1,Online,0,120.0,0,0.0,1
2366,2,0,Not Selected,0,Room_Type 1,183,Online,0,80.1,1,0.0,3
2367,2,0,Not Selected,0,Room_Type 1,47,Online,0,116.1,0,0.0,2
2368,2,1,Meal Plan 1,0,Room_Type 1,162,Offline,0,95.25,0,0.0,4
2369,3,0,Meal Plan 1,0,Room_Type 4,72,Online,0,159.3,1,0.0,2
2370,2,0,Meal Plan 1,0,Room_Type 4,48,Online,0,94.97,0,0.0,3
2371,2,1,Meal Plan 1,0,Room_Type 1,202,Online,0,115.5,1,0.0,3
2372,2,1,Meal Plan 1,0,Room_Type 1,70,Online,0,113.87,0,0.0,3
2373,2,0,Meal Plan 1,0,Room_Type 1,229,Online,0,89.25,1,0.0,4
2374,2,0,Meal Plan 1,0,Room_Type 1,277,Online,0,80.0,1,0.0,7
2375,2,0,Not Selected,0,Room_Type 1,101,Online,0,107.1,1,0.0,8
2376,2,0,Not Selected,0,Room_Type 1,1,Online,0,95.0,0,0.0,2
2377,2,1,Meal Plan 1,0,Room_Type 1,90,Online,0,124.5,0,0.0,3
2378,2,0,Meal Plan 1,0,Room_Type 4,46,Online,0,149.4,1,0.0,5
2379,2,0,Meal Plan 1,0,Room_Type 4,213,Online,0,109.66,1,0.0,7
2380,2,0,Not Selected,0,Room_Type 1,13,Online,0,140.0,0,0.0,3
2381,2,0,Meal Plan 2,0,Room_Type 1,0,Offline,0,109.0,0,0.0,2
2382,1,0,Meal Plan 1,0,Room_Type 1,361,Online,1,91.0,1,1.0,1
2383,2,0,Not Selected,1,Room_Type 1,1,Online,0,88.0,0,0.0,1
2384,1,0,Meal Plan 1,0,Room_Type 4,102,Online,0,122.85,0,0.0,4
2385,2,0,Meal Plan 1,0,Room_Type 1,26,Online,0,151.0,0,0.0,3
2386,2,0,Meal Plan 1,0,Room_Type 1,116,Online,0,105.3,0,0.0,1
2387,2,0,Meal Plan 1,0,Room_Type 1,163,Offline,0,80.75,0,0.0,5
2388,2,0,Meal Plan 2,0,Room_Type 1,145,Offline,0,94.5,0,0.0,3
2389,2,1,Meal Plan 1,0,Room_Type 1,10,Online,0,127.0,0,0.0,2
2390,2,0,Meal Plan 1,0,Room_Type 2,13,Online,0,85.29,1,0.0,7
2391,2,0,Meal Plan 1,0,Room_Type 4,287,Online,0,105.3,1,0.0,3
2392,2,0,Meal Plan 1,0,Room_Type 1,75,Offline,1,75.0,0,0.0,5
2393,1,0,Meal Plan 1,0,Room_Type 1,86,Corporate,0,90.0,0,0.0,2
2394,2,0,Not Selected,0,Room_Type 1,33,Online,0,104.49,1,0.0,2
2395,3,0,Meal Plan 1,0,Room_Type 4,55,Online,0,114.0,0,0.0,4
2396,2,0,Meal Plan 1,0,Room_Type 1,133,Online,0,99.9,0,0.0,3
2397,1,0,Meal Plan 1,0,Room_Type 1,192,Offline,0,95.0,0,0.0,2
2398,2,0,Meal Plan 1,0,Room_Type 1,6,Online,0,121.0,0,0.0,1
2399,3,0,Meal Plan 1,0,Room_Type 4,96,Online,0,159.3,0,0.0,2
2400,1,0,Meal Plan 1,0,Room_Type 1,32,Offline,0,73.0,0,0.0,2
2401,2,1,Meal Plan 2,0,Room_Type 6,22,Online,0,297.0,0,0.0,1
2402,2,0,Meal Plan 1,0,Room_Type 1,273,Online,0,95.0,1,0.0,3
2403,1,0,Meal Plan 1,0,Room_Type 1,3,Corporate,1,65.0,0,0.08108108108108109,3
2404,2,0,Meal Plan 1,0,Room_Type 1,14,Offline,0,64.0,0,0.0,3
2405,1,0,Meal Plan 1,0,Room_Type 1,192,Offline,0,95.0,0,0.0,2
2406,2,0,Meal Plan 1,0,Room_Type 1,289,Offline,0,67.0,0,0.0,1
2407,1,0,Meal Plan 1,0,Room_Type 1,1,Complementary,0,55.0,0,0.0,2
2408,2,0,Meal Plan 1,0,Room_Type 1,59,Online,0,88.4,0,0.0,4
2409,2,1,Meal Plan 1,0,Room_Type 7,0,Online,0,265.0,1,0.0,4
2410,2,0,Meal Plan 2,0,Room_Type 1,39,Offline,0,109.0,0,0.0,2
2411,2,0,Meal Plan 2,0,Room_Type 4,63,Online,0,144.5,1,0.0,4
2412,2,0,Meal Plan 1,0,Room_Type 1,103,Online,0,95.0,1,0.0,3
2413,2,1,Meal Plan 2,1,Room_Type 1,1,Online,0,189.0,0,0.0,2
2414,2,0,Not Selected,0,Room_Type 1,62,Online,0,72.75,1,0.0,5
2415,1,0,Meal Plan 1,0,Room_Type 1,64,Corporate,0,130.0,0,0.0,2
2416,2,0,Not Selected,0,Room_Type 1,0,Online,0,88.0,0,0.0,1
2417,2,1,Meal Plan 1,1,Room_Type 6,207,Online,0,177.3,1,0.0,2
2418,2,0,Meal Plan 1,0,Room_Type 1,235,Online,0,119.85,1,0.0,4
2419,2,0,Not Selected,0,Room_Type 1,200,Online,0,62.18,0,0.0,4
2420,2,0,Meal Plan 1,0,Room_Type 1,5,Offline,0,90.0,0,0.0,3
2421,2,0,Meal Plan 1,0,Room_Type 1,72,Offline,0,58.91,0,0.0,11
2422,3,0,Meal Plan 1,0,Room_Type 4,119,Online,0,151.2,0,0.0,5
2423,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,76.5,1,0.0,2
2424,1,0,Meal Plan 1,1,Room_Type 1,7,Corporate,1,67.0,0,0.0,1
2425,2,0,Meal Plan 1,0,Room_Type 4,24,Offline,0,107.0,0,0.0,9
2426,2,0,Meal Plan 2,0,Room_Type 1,39,Offline,0,109.0,0,0.0,2
2427,1,0,Meal Plan 1,0,Room_Type 1,172,Online,0,95.0,1,0.0,2
2428,2,0,Meal Plan 1,0,Room_Type 4,138,Online,0,122.4,0,0.0,5
2429,1,0,Not Selected,0,Room_Type 1,44,Online,0,102.6,0,0.0,2
2430,2,0,Meal Plan 1,0,Room_Type 2,304,Online,0,65.6,0,0.0,5
2431,2,0,Meal Plan 1,0,Room_Type 4,143,Online,0,88.69,0,0.0,2
2432,1,0,Meal Plan 1,0,Room_Type 1,15,Corporate,0,80.0,0,0.0,1
2433,2,0,Meal Plan 2,0,Room_Type 1,230,Online,0,137.0,1,0.0,5
2434,2,1,Meal Plan 1,0,Room_Type 6,45,Online,0,207.9,1,0.0,3
2435,2,0,Not Selected,0,Room_Type 1,18,Online,0,75.0,0,0.0,1
2436,2,0,Meal Plan 1,0,Room_Type 1,211,Online,0,100.0,1,0.0,2
2437,2,0,Meal Plan 2,0,Room_Type 1,96,Offline,0,166.0,0,0.0,5
2438,2,0,Meal Plan 1,0,Room_Type 1,71,Online,0,82.45,0,0.0,4
2439,2,0,Meal Plan 1,0,Room_Type 1,58,Online,0,80.3,0,0.0,2
2440,3,0,Meal Plan 1,0,Room_Type 4,4,Online,0,175.0,0,0.0,2
2441,2,0,Meal Plan 2,0,Room_Type 1,19,Online,0,134.3,0,0.0,4
2442,2,0,Meal Plan 1,0,Room_Type 4,24,Online,0,174.9,0,0.0,5
2443,3,0,Meal Plan 1,0,Room_Type 4,98,Online,0,140.0,0,0.0,4
2444,2,0,Meal Plan 1,0,Room_Type 1,49,Offline,0,71.0,0,0.0,4
2445,2,0,Meal Plan 1,0,Room_Type 1,1,Online,0,105.0,1,0.0,2
2446,2,0,Meal Plan 1,0,Room_Type 1,4,Online,0,112.5,0,0.0,4
2447,2,0,Meal Plan 1,0,Room_Type 4,26,Online,0,99.0,0,0.0,4
2448,1,0,Meal Plan 1,0,Room_Type 1,5,Online,0,68.22,0,0.0,3
2449,1,1,Meal Plan 2,0,Room_Type 1,23,Offline,0,102.0,0,0.0,3
2450,1,0,Meal Plan 1,0,Room_Type 1,113,Corporate,0,100.0,1,0.0,3
2451,2,0,Meal Plan 2,0,Room_Type 1,74,Offline,0,101.5,0,0.0,2
2452,2,0,Not Selected,0,Room_Type 1,85,Online,0,94.5,1,0.0,4
2453,3,0,Meal Plan 1,0,Room_Type 1,61,Offline,0,105.0,0,0.0,3
2454,2,0,Meal Plan 1,0,Room_Type 1,19,Online,0,91.0,1,0.0,2
2455,2,0,Not Selected,0,Room_Type 1,17,Online,0,114.0,0,0.0,2
2456,2,0,Meal Plan 1,0,Room_Type 1,48,Offline,0,40.67,0,0.0,3
2457,1,0,Meal Plan 1,0,Room_Type 1,12,Corporate,1,65.0,0,0.0,1
2458,3,0,Meal Plan 1,0,Room_Type 4,42,Online,0,124.79,1,0.0,7
2459,2,0,Meal Plan 1,0,Room_Type 1,35,Online,0,103.05,0,0.0,2
2460,2,1,Meal Plan 1,0,Room_Type 1,47,Online,0,101.15,0,0.0,4
2461,2,0,Meal Plan 1,0,Room_Type 1,86,Corporate,0,100.0,0,0.0,2
2462,2,0,Meal Plan 1,0,Room_Type 1,290,Online,0,72.0,1,0.0,3
2463,2,0,Meal Plan 1,0,Room_Type 5,83,Offline,0,101.15,0,0.0,1
2464,2,0,Not Selected,0,Room_Type 1,46,Online,0,116.1,0,0.0,1
2465,1,0,Meal Plan 1,0,Room_Type 1,25,Online,0,79.9,0,0.0,4
2466,3,0,Meal Plan 1,1,Room_Type 4,126,Online,0,146.7,0,0.0,1
2467,2,0,Meal Plan 1,1,Room_Type 6,2,Online,0,205.0,1,0.0,2
2468,2,0,Not Selected,0,Room_Type 1,66,Online,0,106.5,0,0.0,3
2469,2,1,Meal Plan 2,0,Room_Type 6,157,Online,0,217.6,1,0.0,5
2470,2,0,Meal Plan 2,0,Room_Type 1,105,Online,0,110.0,1,0.0,3
2471,2,0,Meal Plan 1,0,Room_Type 1,92,Offline,0,63.75,0,0.0,3
2472,2,0,Not Selected,0,Room_Type 1,19,Online,0,0.0,0,0.0,0
2473,2,0,Meal Plan 1,0,Room_Type 1,127,Offline,0,90.0,0,0.0,4
2474,2,1,Meal Plan 1,0,Room_Type 6,179,Online,0,182.26,1,0.0,7
2475,2,0,Meal Plan 2,0,Room_Type 1,23,Offline,0,109.0,0,0.0,3
2476,2,0,Meal Plan 1,0,Room_Type 1,207,Offline,0,72.25,0,0.0,10
2477,2,0,Not Selected,0,Room_Type 1,27,Online,0,139.0,0,0.0,2
2478,1,0,Meal Plan 1,1,Room_Type 1,12,Corporate,1,67.0,0,0.14285714285714285,1
2479,1,0,Meal Plan 1,0,Room_Type 1,2,Online,0,131.0,0,0.0,1
2480,2,0,Not Selected,0,Room_Type 1,21,Online,0,110.0,0,0.0,2
2481,2,0,Meal Plan 2,0,Room_Type 1,126,Online,0,134.18,0,0.0,7
2482,2,0,Meal Plan 1,0,Room_Type 4,85,Online,0,140.4,1,0.0,1
2483,2,0,Meal Plan 1,0,Room_Type 1,1,Corporate,0,85.0,0,0.0,1
2484,2,0,Meal Plan 1,0,Room_Type 1,120,Online,0,68.0,1,0.0,6
2485,2,0,Meal Plan 1,0,Room_Type 1,61,Online,0,99.9,1,0.0,1
2486,2,0,Meal Plan 2,0,Room_Type 1,257,Online,0,101.5,1,0.0,2
2487,2,0,Meal Plan 1,0,Room_Type 1,7,Online,0,151.0,0,0.0,3
2488,2,0,Meal Plan 1,0,Room_Type 1,39,Online,0,126.9,1,0.0,1
2489,2,0,Meal Plan 1,0,Room_Type 1,126,Online,0,129.6,0,0.0,5
2490,2,0,Meal Plan 2,0,Room_Type 1,110,Online,0,94.5,1,0.0,3
2491,2,0,Meal Plan 1,0,Room_Type 4,71,Online,0,112.8,0,0.0,3
2492,2,0,Not Selected,0,Room_Type 1,128,Online,0,85.5,0,0.0,2
2493,2,0,Not Selected,0,Room_Type 1,0,Online,0,81.0,0,0.0,1
2494,2,0,Meal Plan 1,0,Room_Type 4,90,Online,0,149.4,1,0.0,4
2495,2,1,Meal Plan 1,0,Room_Type 1,101,Offline,0,84.58,0,0.0,3
2496,2,0,Not Selected,0,Room_Type 1,152,Online,0,91.93,1,0.0,7
2497,2,0,Not Selected,0,Room_Type 1,35,Online,0,99.0,1,0.0,1
2498,2,0,Meal Plan 1,0,Room_Type 1,5,Corporate,1,100.0,0,1.0,2
2499,1,0,Meal Plan 1,0,Room_Type 4,106,Corporate,1,103.0,0,0.0,1
2500,1,0,Meal Plan 1,0,Room_Type 1,4,Online,0,95.0,0,0.0,1
2501,2,0,Meal Plan 1,0,Room_Type 4,182,Online,0,112.2,1,0.0,9
2502,2,0,Meal Plan 1,0,Room_Type 1,10,Offline,0,95.0,0,0.0,5
2503,2,0,Meal Plan 1,0,Room_Type 4,32,Online,0,161.33,1,0.0,3
2504,1,0,Meal Plan 1,0,Room_Type 1,37,Online,0,0.5,0,0.0,12
2505,3,0,Meal Plan 2,0,Room_Type 4,96,Online,0,189.0,0,0.0,4
2506,3,0,Meal Plan 1,0,Room_Type 1,67,Offline,0,100.81,0,0.0,3
2507,2,0,Meal Plan 2,0,Room_Type 1,286,Online,0,117.0,1,0.0,2
2508,2,0,Meal Plan 1,0,Room_Type 1,34,Online,0,104.85,0,0.0,2
2509,2,0,Not Selected,0,Room_Type 1,121,Offline,0,62.5,0,0.0,6
2510,1,0,Meal Plan 1,0,Room_Type 1,37,Offline,0,95.0,0,0.0,3
2511,1,0,Meal Plan 1,0,Room_Type 1,4,Corporate,1,65.0,0,0.25,3
2512,2,0,Not Selected,0,Room_Type 1,73,Online,0,88.0,1,0.0,1
2513,1,0,Meal Plan 1,0,Room_Type 1,0,Corporate,0,79.0,0,0.0,2
2514,1,0,Meal Plan 1,0,Room_Type 7,7,Online,0,0.0,0,0.0,0
2515,2,0,Meal Plan 1,0,Room_Type 1,13,Online,0,131.0,0,0.0,4
2516,2,0,Meal Plan 1,0,Room_Type 1,134,Offline,0,65.0,0,0.0,4
2517,2,0,Meal Plan 1,0,Room_Type 1,46,Online,0,63.58,1,0.0,6
2518,1,0,Meal Plan 1,0,Room_Type 1,4,Aviation,0,95.0,0,0.0,2
2519,2,0,Not Selected,0,Room_Type 1,81,Online,0,67.5,0,0.0,3
2520,2,0,Meal Plan 1,0,Room_Type 1,22,Online,0,88.4,0,0.0,4
2521,2,0,Meal Plan 2,1,Room_Type 1,15,Offline,0,111.8,0,0.0,3
2522,2,0,Not Selected,0,Room_Type 1,100,Online,0,88.74,1,0.0,5
2523,2,0,Meal Plan 1,0,Room_Type 1,103,Online,0,99.3,1,0.0,3
2524,2,0,Meal Plan 1,1,Room_Type 1,1,Online,0,105.0,0,0.0,4
2525,2,0,Meal Plan 2,0,Room_Type 1,103,Online,0,94.5,1,0.0,3
2526,2,1,Meal Plan 1,0,Room_Type 6,82,Online,0,202.5,1,0.0,5
2527,0,1,Meal Plan 1,1,Room_Type 6,0,Online,0,6.0,0,0.0,1
2528,2,0,Meal Plan 1,0,Room_Type 1,19,Online,0,100.0,1,0.0,2
2529,2,0,Meal Plan 2,0,Room_Type 1,377,Online,0,112.0,1,0.0,2
2530,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,164.2,0,0.0,5
2531,2,0,Meal Plan 1,0,Room_Type 4,189,Online,0,99.45,0,0.0,5
2532,2,0,Meal Plan 1,0,Room_Type 1,65,Online,0,126.9,1,0.0,2
2533,1,0,Meal Plan 2,0,Room_Type 1,102,Online,0,80.0,1,0.0,2
2534,1,0,Not Selected,0,Room_Type 1,7,Online,0,52.36,0,0.0,1
2535,2,0,Meal Plan 1,1,Room_Type 1,90,Online,0,126.9,0,0.0,2
2536,2,0,Meal Plan 2,0,Room_Type 1,161,Online,0,130.0,1,0.0,3
2537,2,0,Meal Plan 1,0,Room_Type 1,63,Online,0,89.25,0,0.0,2
2538,1,0,Meal Plan 2,0,Room_Type 1,257,Offline,0,80.0,0,0.0,2
2539,2,0,Meal Plan 1,0,Room_Type 1,1,Online,0,111.0,0,0.0,1
2540,1,0,Meal Plan 1,0,Room_Type 1,86,Offline,0,87.5,0,0.0,2
2541,2,0,Meal Plan 1,0,Room_Type 1,200,Online,0,72.25,1,0.0,3
2542,2,0,Meal Plan 1,0,Room_Type 4,9,Complementary,1,0.0,0,0.0,1
2543,2,0,Meal Plan 1,0,Room_Type 1,63,Online,0,85.0,0,0.0,4
2544,2,0,Not Selected,0,Room_Type 1,54,Online,0,47.43,1,0.0,4
2545,2,0,Meal Plan 1,0,Room_Type 1,168,Offline,0,72.25,0,0.0,4
2546,2,0,Meal Plan 1,0,Room_Type 4,111,Online,0,97.75,1,0.0,6
2547,2,0,Meal Plan 2,0,Room_Type 4,87,Online,0,136.8,0,0.0,2
2548,2,1,Meal Plan 1,0,Room_Type 1,109,Online,0,143.1,1,0.0,3
2549,1,0,Meal Plan 1,0,Room_Type 1,20,Online,0,91.63,0,0.0,2
2550,2,0,Meal Plan 2,0,Room_Type 1,291,Online,0,115.0,1,0.0,2
2551,2,0,Meal Plan 1,0,Room_Type 1,175,Online,0,83.01,0,0.0,4
2552,2,0,Meal Plan 2,0,Room_Type 1,418,Online,0,107.0,1,0.0,3
2553,1,0,Not Selected,0,Room_Type 1,1,Online,0,74.95,0,0.0,3
2554,2,0,Not Selected,0,Room_Type 1,167,Online,0,98.1,1,0.0,3
2555,2,0,Not Selected,0,Room_Type 1,6,Online,0,148.0,0,0.0,4
2556,2,0,Meal Plan 1,0,Room_Type 4,313,Online,0,91.8,1,0.0,3
2557,2,0,Meal Plan 1,0,Room_Type 1,203,Online,0,126.9,1,0.0,3
2558,1,0,Meal Plan 1,0,Room_Type 1,164,Online,0,105.3,0,0.0,2
2559,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,107.69,0,0.0,3
2560,2,0,Not Selected,0,Room_Type 1,44,Online,0,74.8,0,0.0,5
2561,2,0,Not Selected,0,Room_Type 1,18,Online,0,120.0,1,0.0,3
2562,2,0,Meal Plan 1,0,Room_Type 1,190,Online,0,96.3,1,0.0,4
2563,1,0,Meal Plan 1,0,Room_Type 1,0,Corporate,0,140.0,0,0.0,1
2564,2,0,Meal Plan 1,0,Room_Type 1,18,Online,0,115.68,0,0.0,4
2565,1,0,Meal Plan 1,0,Room_Type 4,49,Online,0,67.22,0,0.0,1
2566,2,0,Meal Plan 1,0,Room_Type 1,304,Online,0,89.0,1,0.0,3
2567,1,1,Meal Plan 1,0,Room_Type 1,178,Online,0,124.5,1,0.0,3
2568,2,0,Meal Plan 1,0,Room_Type 1,13,Offline,0,95.0,0,0.0,2
2569,2,1,Not Selected,0,Room_Type 4,0,Online,0,147.59,0,0.0,1
2570,2,0,Meal Plan 1,0,Room_Type 1,3,Online,0,82.88,0,0.0,4
2571,2,0,Meal Plan 1,0,Room_Type 1,80,Online,0,131.4,0,0.0,2
2572,2,0,Not Selected,0,Room_Type 1,0,Online,0,89.0,0,0.0,1
2573,2,0,Meal Plan 1,0,Room_Type 4,4,Online,0,155.0,0,0.0,1
2574,2,0,Meal Plan 1,0,Room_Type 4,142,Online,0,129.0,0,0.0,3
2575,1,0,Meal Plan 1,0,Room_Type 1,10,Online,0,149.0,0,0.0,2
2576,2,0,Not Selected,0,Room_Type 1,16,Online,0,129.0,1,0.0,1
2577,2,0,Meal Plan 1,0,Room_Type 4,117,Online,0,104.04,0,0.0,5
2578,2,0,Meal Plan 1,0,Room_Type 4,120,Online,0,104.4,1,0.0,1
2579,2,0,Not Selected,0,Room_Type 1,34,Online,0,68.7,1,0.0,3
2580,1,0,Meal Plan 1,0,Room_Type 1,192,Offline,0,95.0,0,0.0,2
2581,1,0,Meal Plan 1,0,Room_Type 1,3,Online,0,96.0,0,0.0,1
2582,2,0,Meal Plan 1,0,Room_Type 1,2,Online,0,141.0,0,0.0,1
2583,2,0,Meal Plan 1,0,Room_Type 1,273,Online,0,95.0,1,0.0,3
2584,2,0,Meal Plan 1,0,Room_Type 1,86,Offline,0,105.0,0,0.0,2
2585,2,0,Meal Plan 1,0,Room_Type 2,15,Online,0,77.88,0,0.0,6
2586,2,0,Meal Plan 1,0,Room_Type 1,182,Online,0,117.9,1,0.0,2
2587,2,0,Not Selected,0,Room_Type 1,95,Online,0,89.25,0,0.0,5
2588,2,0,Meal Plan 1,0,Room_Type 1,18,Online,0,110.46,0,0.0,3
2589,2,0,Meal Plan 2,0,Room_Type 1,213,Online,0,123.25,1,0.0,6
2590,2,0,Not Selected,0,Room_Type 1,53,Online,0,74.8,0,0.0,7
2591,2,0,Not Selected,0,Room_Type 1,7,Online,0,102.33,0,0.0,3
2592,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,115.0,1,0.0,2
2593,1,0,Meal Plan 1,0,Room_Type 1,8,Online,0,126.0,0,0.0,2
2594,2,0,Meal Plan 1,0,Room_Type 1,157,Offline,0,68.0,0,0.0,3
2595,1,0,Meal Plan 1,0,Room_Type 1,83,Offline,0,46.67,0,0.0,6
2596,2,0,Meal Plan 1,0,Room_Type 1,1,Offline,0,75.0,0,0.0,3
2597,2,1,Meal Plan 1,0,Room_Type 4,148,Online,0,108.19,0,0.0,4
2598,2,0,Meal Plan 2,0,Room_Type 1,96,Offline,0,94.5,0,0.0,3
2599,2,0,Meal Plan 1,0,Room_Type 1,28,Online,0,86.1,0,0.0,3
2600,1,0,Meal Plan 1,0,Room_Type 1,4,Online,0,64.08,0,0.0,8
2601,2,0,Meal Plan 1,0,Room_Type 1,263,Offline,0,67.0,0,0.0,1
2602,1,0,Not Selected,0,Room_Type 1,1,Online,0,95.48,0,0.0,1
2603,2,0,Meal Plan 1,0,Room_Type 1,106,Online,0,104.0,0,0.0,2
2604,2,0,Not Selected,0,Room_Type 1,8,Online,0,139.0,0,0.0,2
2605,2,0,Meal Plan 1,0,Room_Type 1,89,Online,0,90.95,0,0.0,4
2606,2,0,Meal Plan 1,0,Room_Type 4,253,Online,0,115.2,1,0.0,1
2607,2,0,Not Selected,0,Room_Type 1,10,Online,0,112.33,0,0.0,3
2608,2,0,Meal Plan 2,0,Room_Type 1,145,Online,0,153.0,1,0.0,2
2609,2,1,Meal Plan 1,0,Room_Type 5,55,Online,0,129.6,0,0.0,4
2610,1,0,Meal Plan 1,0,Room_Type 1,195,Online,0,90.9,1,0.0,4
2611,1,0,Meal Plan 1,0,Room_Type 1,5,Offline,0,100.0,0,0.0,2
2612,2,0,Not Selected,0,Room_Type 1,87,Online,0,94.5,0,0.0,4
2613,1,0,Meal Plan 1,0,Room_Type 4,133,Online,0,114.3,0,0.0,3
2614,2,0,Not Selected,0,Room_Type 1,35,Online,0,98.1,0,0.0,1
2615,2,0,Meal Plan 1,0,Room_Type 1,7,Online,0,124.0,1,0.0,1
2616,2,0,Meal Plan 1,0,Room_Type 1,120,Online,0,95.2,0,0.0,2
2617,2,0,Meal Plan 1,0,Room_Type 1,8,Corporate,0,75.0,0,0.0,1
2618,2,1,Meal Plan 1,0,Room_Type 1,24,Offline,0,128.0,0,0.0,4
2619,2,0,Meal Plan 1,0,Room_Type 1,61,Online,0,99.9,1,0.0,2
2620,1,0,Meal Plan 1,0,Room_Type 4,2,Corporate,0,94.0,0,0.0,2
2621,1,0,Meal Plan 1,0,Room_Type 1,152,Online,0,90.9,1,0.0,3
2622,2,0,Meal Plan 1,0,Room_Type 1,31,Online,0,125.1,0,0.0,1
2623,2,0,Meal Plan 1,0,Room_Type 1,100,Online,0,93.3,1,0.0,3
2624,2,0,Meal Plan 2,0,Room_Type 1,102,Offline,0,109.0,0,0.0,2
2625,2,0,Meal Plan 1,0,Room_Type 1,89,Online,0,96.3,0,0.0,3
2626,2,0,Meal Plan 1,0,Room_Type 1,104,Online,1,61.43,1,1.0,6
2627,2,0,Meal Plan 2,0,Room_Type 1,103,Online,0,94.5,1,0.0,3
2628,2,0,Meal Plan 2,0,Room_Type 1,3,Offline,0,112.0,0,0.0,2
2629,2,0,Meal Plan 1,0,Room_Type 1,6,Online,0,127.0,1,0.0,3
2630,2,0,Not Selected,0,Room_Type 1,148,Online,0,91.68,1,0.0,7
